"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    ,    "RefForce"    ,       "CD"       ,       "CL"       ,       "CSF"      ,       "CMx"      ,       "CMy"      ,       "CMz"      ,       "CFx"      ,       "CFy"      ,       "CFz"      ,      "CEff"      ,     "Buffet"     ,       "HF"       ,      "maxHF"     
          0,           0,          13,      -7.844433684,      -7.711797619,      -8.191405008,      -7.452399832,      -12.31719524,       -2.09852864,    1.44848436e-05,     0.00708308095,       37.97498336,       37.97498336,       37.97498336,   1.105948019e-06,       12.78572397,        -1.6848306,                 0,                 0,                 0,      -15.09422281,       12.78572397,        -1.6848306,                 0,     -0.1317743605,      0.3506493895,      -539.8118229,       46132.55671
          0,           0,          14,       -7.80284488,      -7.693584313,      -8.249812088,      -7.409577595,      -12.35612708,      -2.138042238,   1.593550439e-05,    0.007791418149,       41.77248169,       41.77248169,       41.77248169,   1.105948019e-06,        14.0964328,      -1.223269184,                 0,                 0,                 0,      -14.84115392,        14.0964328,      -1.223269184,                 0,    -0.08677863413,      0.3506493895,      -569.2435964,       48659.22716
          0,           0,          15,       -7.79771841,      -7.695313359,      -8.277264729,      -7.405766911,      -12.39353502,       -2.24037006,   1.753132674e-05,    0.008570591688,       45.94972986,       45.94972986,       45.94972986,   1.105948019e-06,       12.83121245,      -0.568993547,                 0,                 0,                 0,      -11.81897569,       12.83121245,      -0.568993547,                 0,    -0.04434448802,      0.3506493895,      -599.0869937,       51224.96413
          0,           0,          16,      -7.842095192,      -7.736363175,      -8.238988813,      -7.454469064,       -12.4318813,      -2.342735003,   1.928593677e-05,    0.009427679459,       50.54470285,       50.54470285,       50.54470285,   1.105948019e-06,       10.07634464,      0.6473465762,                 0,                 0,                 0,       -5.58130451,       10.07634464,      0.6473465762,                 0,     0.06424418767,      0.3506493895,      -629.3714828,       53831.17184
          0,           0,          17,      -7.924190599,       -7.81570882,      -8.193567774,      -7.542813804,      -12.47065331,      -2.396863665,   2.121615399e-05,     0.01037046754,       55.59917313,       55.59917313,       55.59917313,   1.105948019e-06,       6.867702807,       2.462322212,                 0,                 0,                 0,       3.235838153,       6.867702807,       2.462322212,                 0,      0.3585365124,      0.3506493895,      -660.1905934,       56485.97253
          0,           0,          18,      -7.973640069,      -7.908420465,      -8.131668912,      -7.590607894,      -12.50895793,      -2.387175758,   2.334088788e-05,     0.01140752884,       61.15909045,       61.15909045,       61.15909045,   1.105948019e-06,       3.973250406,       3.971187842,                 0,                 0,                 0,       10.78114726,       3.973250406,       3.971187842,                 0,      0.9994808874,      0.3506493895,      -691.1675977,       59155.82257
          0,           0,          19,      -7.953930362,      -7.979808494,      -8.115152286,      -7.559845607,      -12.54622626,      -2.315806728,   2.567993784e-05,     0.01254831724,       67.27499949,       67.27499949,       67.27499949,   1.105948019e-06,       1.160974897,       4.636298415,                 0,                 0,                 0,       15.40715338,       1.160974897,       4.636298415,                 0,       3.993452768,      0.3506493895,      -722.2233463,       61833.63432
          0,           0,          20,      -7.931119621,      -8.022819994,      -8.139341701,      -7.528645411,      -12.58243979,      -2.343707942,   2.825369074e-05,     0.01380330708,       74.00249944,       74.00249944,       74.00249944,   1.105948019e-06,      -1.611860269,       4.288543369,                 0,                 0,                 0,       16.49665988,      -1.611860269,       4.288543369,                 0,      -2.660617332,      0.3506493895,      -753.2118758,       64506.79456
          0,           0,          21,      -7.921875166,      -8.026845325,      -8.185830385,      -7.515630755,      -12.61709659,      -2.399145857,   3.107968062e-05,     0.01518420056,       81.40274939,       81.40274939,       81.40274939,   1.105948019e-06,      -3.816253251,       3.111866914,                 0,                 0,                 0,        14.1058581,      -3.816253251,       3.111866914,                 0,     -0.8154246348,      0.3506493895,      -783.8909423,        67154.4486
          0,           0,          22,      -7.907492293,       -7.99075573,      -8.206805923,      -7.502688623,      -12.64928905,      -2.413660007,   3.418713744e-05,     0.01670417465,       89.54302433,       89.54302433,       89.54302433,   1.105948019e-06,      -4.795930304,       1.513352576,                 0,                 0,                 0,       9.070070617,      -4.795930304,       1.513352576,                 0,     -0.3155493262,      0.3506493895,       -814.015652,       69755.68646
          0,           0,          23,      -7.893216801,      -7.944175276,      -8.216609775,      -7.493102832,      -12.67862098,      -2.410156237,   3.760538223e-05,      0.0183779541,       98.49732676,       98.49732676,       98.49732676,   1.105948019e-06,      -4.384048988,    -0.02917654169,                 0,                 0,                 0,       3.070640164,      -4.384048988,    -0.02917654169,                 0,    0.006655158681,      0.3506493895,      -843.4663466,        72300.5547
          0,           0,          24,      -7.896306352,      -7.915244552,      -8.244825272,      -7.502067914,      -12.70363602,       -2.39369611,   4.136590779e-05,     0.02022145371,       108.3470594,       108.3470594,       108.3470594,   1.105948019e-06,      -2.688740303,      -1.570981562,                 0,                 0,                 0,      -3.774212664,      -2.688740303,      -1.570981562,                 0,      0.5842816283,      0.3506493895,      -873.0154419,       74855.87818
          0,           0,          25,      -7.908630403,        -7.9119902,       -8.21975799,      -7.520726126,      -12.72449733,      -2.388163735,   4.550222319e-05,      0.0222512689,       119.1817654,       119.1817654,       119.1817654,   1.105948019e-06,      -0.271924387,      -1.658945365,                 0,                 0,                 0,      -5.798486267,      -0.271924387,      -1.658945365,                 0,       6.100759786,      0.3506493895,      -901.7749676,       77345.57486
          0,           0,          26,      -7.932319853,      -7.940010857,      -8.150316917,      -7.550353082,      -12.74975925,      -2.317942152,   5.005308584e-05,     0.02448311222,       131.0999419,       131.0999419,       131.0999419,   1.105948019e-06,       2.345230706,      -0.628874577,                 0,                 0,                 0,      -3.906468782,       2.345230706,      -0.628874577,                 0,     -0.2681504107,      0.3506493895,      -930.1959395,       79808.71589
          0,           0,          27,      -7.947313956,      -7.984097626,      -8.082724504,      -7.566453235,       -12.7898117,      -2.242170486,   5.505935799e-05,     0.02693365687,       144.2099361,       144.2099361,       144.2099361,   1.105948019e-06,       4.434842158,      0.6169607233,                 0,                 0,                 0,     -0.7986298342,       4.434842158,      0.6169607233,                 0,      0.1391167264,      0.3506493895,      -957.0118741,       82136.29907
          0,           0,          28,      -7.957221171,      -8.030543639,      -8.068476252,      -7.572125737,      -12.84006057,      -2.223380633,   6.056707108e-05,     0.02962296659,       158.6309297,       158.6309297,       158.6309297,   1.105948019e-06,        5.47953529,       1.263896343,                 0,                 0,                 0,      0.7274008229,        5.47953529,       1.263896343,                 0,      0.2306575789,      0.3506493895,      -981.7843582,       84289.36003
          0,           0,          29,      -7.956042002,      -8.091396613,      -8.036156169,      -7.564578696,      -12.88498825,       -2.22034091,   6.662643218e-05,     0.03257669788,       174.4940227,       174.4940227,       174.4940227,   1.105948019e-06,       5.364756439,        1.09565287,                 0,                 0,                 0,     0.03118126273,       5.364756439,        1.09565287,                 0,      0.2042316147,      0.3506493895,       -1004.30813,       86248.84273
